"","group","item","class","name","parnum","value","lbound","ubound","est","prior.type","prior_1","prior_2"
"1292","all","X33","dich","a3",129,-0.799327620044867,-Inf,Inf,TRUE,"none",NA,NA
"130","all","X33","dich","d",130,6.47054624387976,-Inf,Inf,TRUE,"none",NA,NA
"1311","all","X33","dich","g",131,0,0,1,FALSE,"none",NA,NA
"1321","all","X33","dich","u",132,1,0,1,FALSE,"none",NA,NA
"133","all","X34","dich","a1",133,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1331","all","X34","dich","a2",133,-0.57382088412596,-Inf,Inf,TRUE,"none",NA,NA
"1332","all","X34","dich","a3",133,-0.278581581729158,-Inf,Inf,TRUE,"none",NA,NA
"134","all","X34","dich","d",134,2.68928460871741,-Inf,Inf,TRUE,"none",NA,NA
"135","all","X34","dich","g",135,0,0,1,FALSE,"none",NA,NA
"136","all","X34","dich","u",136,1,0,1,FALSE,"none",NA,NA
"137","all","X35","dich","a1",137,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1371","all","X35","dich","a2",137,0.165839224695878,-Inf,Inf,TRUE,"none",NA,NA
"1372","all","X35","dich","a3",137,-0.291800700528734,-Inf,Inf,TRUE,"none",NA,NA
"138","all","X35","dich","d",138,4.86826899935523,-Inf,Inf,TRUE,"none",NA,NA
"139","all","X35","dich","g",139,0,0,1,FALSE,"none",NA,NA
"140","all","X35","dich","u",140,1,0,1,FALSE,"none",NA,NA
"141","all","X36","dich","a1",141,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1411","all","X36","dich","a2",141,-0.379204097464429,-Inf,Inf,TRUE,"none",NA,NA
"1412","all","X36","dich","a3",141,0.619805997315335,-Inf,Inf,TRUE,"none",NA,NA
"142","all","X36","dich","d",142,3.37676339807279,-Inf,Inf,TRUE,"none",NA,NA
"143","all","X36","dich","g",143,0,0,1,FALSE,"none",NA,NA
"144","all","X36","dich","u",144,1,0,1,FALSE,"none",NA,NA
"145","all","X37","dich","a1",145,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1451","all","X37","dich","a2",145,0.816765594168209,-Inf,Inf,TRUE,"none",NA,NA
"1452","all","X37","dich","a3",145,0.0320898878757359,-Inf,Inf,TRUE,"none",NA,NA
"146","all","X37","dich","d",146,6.47054624387976,-Inf,Inf,TRUE,"none",NA,NA
"147","all","X37","dich","g",147,0,0,1,FALSE,"none",NA,NA
"148","all","X37","dich","u",148,1,0,1,FALSE,"none",NA,NA
"149","all","X38","dich","a1",149,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1491","all","X38","dich","a2",149,-0.0316376759930303,-Inf,Inf,TRUE,"none",NA,NA
"1492","all","X38","dich","a3",149,-0.252157750944246,-Inf,Inf,TRUE,"none",NA,NA
"150","all","X38","dich","d",150,5.40449607954962,-Inf,Inf,TRUE,"none",NA,NA
"151","all","X38","dich","g",151,0,0,1,FALSE,"none",NA,NA
"152","all","X38","dich","u",152,1,0,1,FALSE,"none",NA,NA
"153","all","X39","dich","a1",153,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1531","all","X39","dich","a2",153,-0.300953943887722,-Inf,Inf,TRUE,"none",NA,NA
"1532","all","X39","dich","a3",153,0.249408180217276,-Inf,Inf,TRUE,"none",NA,NA
"154","all","X39","dich","d",154,2.64221740713481,-Inf,Inf,TRUE,"none",NA,NA
"155","all","X39","dich","g",155,0,0,1,FALSE,"none",NA,NA
"156","all","X39","dich","u",156,1,0,1,FALSE,"none",NA,NA
"157","all","X40","dich","a1",157,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1571","all","X40","dich","a2",157,0.069616162430014,-Inf,Inf,TRUE,"none",NA,NA
"1572","all","X40","dich","a3",157,0.77997966997507,-Inf,Inf,TRUE,"none",NA,NA
"158","all","X40","dich","d",158,6.07711175106402,-Inf,Inf,TRUE,"none",NA,NA
"159","all","X40","dich","g",159,0,0,1,FALSE,"none",NA,NA
"160","all","X40","dich","u",160,1,0,1,FALSE,"none",NA,NA
"161","all","X41","dich","a1",161,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1611","all","X41","dich","a2",161,0.14734853673399,-Inf,Inf,TRUE,"none",NA,NA
"1612","all","X41","dich","a3",161,-0.610881061742382,-Inf,Inf,TRUE,"none",NA,NA
"162","all","X41","dich","d",162,4.66755854387947,-Inf,Inf,TRUE,"none",NA,NA
"163","all","X41","dich","g",163,0,0,1,FALSE,"none",NA,NA
"164","all","X41","dich","u",164,1,0,1,FALSE,"none",NA,NA
"165","all","X42","dich","a1",165,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1651","all","X42","dich","a2",165,-0.258085277279579,-Inf,Inf,TRUE,"none",NA,NA
"1652","all","X42","dich","a3",165,0.257923670023758,-Inf,Inf,TRUE,"none",NA,NA
"166","all","X42","dich","d",166,3.78723022572542,-Inf,Inf,TRUE,"none",NA,NA
"167","all","X42","dich","g",167,0,0,1,FALSE,"none",NA,NA
"168","all","X42","dich","u",168,1,0,1,FALSE,"none",NA,NA
"169","all","X43","dich","a1",169,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1691","all","X43","dich","a2",169,-0.434964771007747,-Inf,Inf,TRUE,"none",NA,NA
"1692","all","X43","dich","a3",169,0.746948520932529,-Inf,Inf,TRUE,"none",NA,NA
